MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Sale_Price,Longitude,Latitude
b'Two_Story_1946_and_Newer',b'Residential_Low_Density',75.0,10000.0,b'Pave',b'No_Alley_Access',b'Slightly_Irregular',b'Lvl',b'AllPub',b'Corner',b'Gtl',b'Gilbert',b'Norm',b'Norm',b'OneFam',b'Two_Story',b'Above_Average',b'Average',1993.0,1994.0,b'Gable',b'CompShg',b'HdBoard',b'HdBoard',b'None',0.0,b'Typical',b'Typical',b'PConc',b'Good',b'Typical',b'No',b'Unf',7.0,b'Unf',0.0,763.0,763.0,b'GasA',b'Good',b'Y',b'SBrkr',763.0,892.0,0.0,1655.0,0.0,0.0,2.0,1.0,3.0,1.0,b'Typical',7.0,b'Typ',1.0,b'Typical',b'Attchd',b'Fin',2.0,440.0,b'Typical',b'Typical',b'Paved',157.0,84.0,0.0,0.0,0.0,0.0,b'No_Pool',b'No_Fence',b'None',0.0,4.0,2010.0,b'WD ',b'Normal',175900.0,-93.636947,42.05848
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',0.0,7980.0,b'Pave',b'No_Alley_Access',b'Slightly_Irregular',b'Lvl',b'AllPub',b'Inside',b'Gtl',b'Gilbert',b'Norm',b'Norm',b'OneFam',b'One_Story',b'Above_Average',b'Good',1992.0,2007.0,b'Gable',b'CompShg',b'HdBoard',b'HdBoard',b'None',0.0,b'Typical',b'Good',b'PConc',b'Good',b'Typical',b'No',b'ALQ',1.0,b'Unf',0.0,233.0,1168.0,b'GasA',b'Excellent',b'Y',b'SBrkr',1187.0,0.0,0.0,1187.0,1.0,0.0,2.0,0.0,3.0,1.0,b'Typical',6.0,b'Typ',0.0,b'No_Fireplace',b'Attchd',b'Fin',2.0,420.0,b'Typical',b'Typical',b'Paved',483.0,21.0,0.0,0.0,0.0,0.0,b'No_Pool',b'Good_Privacy',b'Shed',500.0,3.0,2010.0,b'WD ',b'Normal',185000.0,-93.635951,42.057419
b'Two_Story_1946_and_Newer',b'Residential_Low_Density',63.0,8402.0,b'Pave',b'No_Alley_Access',b'Slightly_Irregular',b'Lvl',b'AllPub',b'Inside',b'Gtl',b'Gilbert',b'Norm',b'Norm',b'OneFam',b'Two_Story',b'Above_Average',b'Average',1998.0,1998.0,b'Gable',b'CompShg',b'VinylSd',b'VinylSd',b'None',0.0,b'Typical',b'Typical',b'PConc',b'Good',b'Typical',b'No',b'Unf',7.0,b'Unf',0.0,789.0,789.0,b'GasA',b'Good',b'Y',b'SBrkr',789.0,676.0,0.0,1465.0,0.0,0.0,2.0,1.0,3.0,1.0,b'Typical',7.0,b'Typ',1.0,b'Good',b'Attchd',b'Fin',2.0,393.0,b'Typical',b'Typical',b'Paved',0.0,75.0,0.0,0.0,0.0,0.0,b'No_Pool',b'No_Fence',b'None',0.0,5.0,2010.0,b'WD ',b'Normal',180400.0,-93.638647,42.058151
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',85.0,10176.0,b'Pave',b'No_Alley_Access',b'Regular',b'Lvl',b'AllPub',b'Inside',b'Gtl',b'Gilbert',b'Norm',b'Norm',b'OneFam',b'One_Story',b'Good',b'Average',1990.0,1990.0,b'Gable',b'CompShg',b'HdBoard',b'HdBoard',b'None',0.0,b'Typical',b'Typical',b'PConc',b'Good',b'Typical',b'Gd',b'GLQ',3.0,b'Unf',0.0,663.0,1300.0,b'GasA',b'Good',b'Y',b'SBrkr',1341.0,0.0,0.0,1341.0,1.0,0.0,1.0,1.0,2.0,1.0,b'Good',5.0,b'Typ',1.0,b'Poor',b'Attchd',b'Unf',2.0,506.0,b'Typical',b'Typical',b'Paved',192.0,0.0,0.0,0.0,0.0,0.0,b'No_Pool',b'No_Fence',b'None',0.0,2.0,2010.0,b'WD ',b'Normal',171500.0,-93.634626,42.057268
b'One_Story_PUD_1946_and_Newer',b'Residential_Low_Density',0.0,6820.0,b'Pave',b'No_Alley_Access',b'Slightly_Irregular',b'Lvl',b'AllPub',b'Corner',b'Gtl',b'Stone_Brook',b'Norm',b'Norm',b'TwnhsE',b'One_Story',b'Very_Good',b'Average',1985.0,1985.0,b'Gable',b'CompShg',b'HdBoard',b'HdBoard',b'None',0.0,b'Good',b'Typical',b'PConc',b'Good',b'Typical',b'Av',b'GLQ',3.0,b'BLQ',1120.0,0.0,1488.0,b'GasA',b'Typical',b'Y',b'SBrkr',1502.0,0.0,0.0,1502.0,1.0,0.0,1.0,1.0,1.0,1.0,b'Good',4.0,b'Typ',0.0,b'No_Fireplace',b'Attchd',b'RFn',2.0,528.0,b'Typical',b'Typical',b'Paved',0.0,54.0,0.0,0.0,140.0,0.0,b'No_Pool',b'No_Fence',b'None',0.0,6.0,2010.0,b'WD ',b'Normal',212000.0,-93.632913,42.059169
b'Two_Story_1946_and_Newer',b'Residential_Low_Density',47.0,53504.0,b'Pave',b'No_Alley_Access',b'Moderately_Irregular',b'HLS',b'AllPub',b'CulDSac',b'Mod',b'Stone_Brook',b'Norm',b'Norm',b'OneFam',b'Two_Story',b'Very_Good',b'Average',2003.0,2003.0,b'Hip',b'CompShg',b'CemntBd',b'Wd Shng',b'BrkFace',603.0,b'Excellent',b'Typical',b'PConc',b'Good',b'Typical',b'Gd',b'ALQ',1.0,b'Unf',0.0,234.0,1650.0,b'GasA',b'Excellent',b'Y',b'SBrkr',1690.0,1589.0,0.0,3279.0,1.0,0.0,3.0,1.0,4.0,1.0,b'Excellent',12.0,b'Mod',1.0,b'Good',b'BuiltIn',b'Fin',3.0,841.0,b'Typical',b'Typical',b'Paved',503.0,36.0,0.0,0.0,210.0,0.0,b'No_Pool',b'No_Fence',b'None',0.0,6.0,2010.0,b'WD ',b'Normal',538000.0,-93.62655,42.061239
b'One_and_Half_Story_Finished_All_Ages',b'Residential_Low_Density',152.0,12134.0,b'Pave',b'No_Alley_Access',b'Slightly_Irregular',b'Bnk',b'AllPub',b'Inside',b'Mod',b'Gilbert',b'Norm',b'Norm',b'OneFam',b'One_and_Half_Fin',b'Very_Good',b'Good',1988.0,2005.0,b'Gable',b'CompShg',b'Wd Sdng',b'Wd Sdng',b'None',0.0,b'Good',b'Typical',b'Wood',b'Good',b'Typical',b'Av',b'GLQ',3.0,b'Unf',0.0,132.0,559.0,b'GasA',b'Good',b'Y',b'SBrkr',1080.0,672.0,0.0,1752.0,0.0,0.0,2.0,0.0,4.0,1.0,b'Typical',8.0,b'Typ',0.0,b'No_Fireplace',b'Basment',b'RFn',2.0,492.0,b'Typical',b'Typical',b'Paved',325.0,12.0,0.0,0.0,0.0,0.0,b'No_Pool',b'No_Fence',b'None',0.0,6.0,2010.0,b'WD ',b'Normal',164000.0,-93.6235954,42.0603514
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',88.0,11394.0,b'Pave',b'No_Alley_Access',b'Regular',b'Lvl',b'AllPub',b'Corner',b'Gtl',b'Stone_Brook',b'Norm',b'Norm',b'OneFam',b'One_Story',b'Excellent',b'Poor',2010.0,2010.0,b'Hip',b'CompShg',b'VinylSd',b'VinylSd',b'Stone',350.0,b'Good',b'Typical',b'PConc',b'Excellent',b'Typical',b'Av',b'GLQ',3.0,b'Unf',0.0,411.0,1856.0,b'GasA',b'Excellent',b'Y',b'SBrkr',1856.0,0.0,0.0,1856.0,1.0,0.0,1.0,1.0,1.0,1.0,b'Excellent',8.0,b'Typ',1.0,b'Excellent',b'Attchd',b'Fin',3.0,834.0,b'Typical',b'Typical',b'Paved',113.0,0.0,0.0,0.0,0.0,0.0,b'No_Pool',b'No_Fence',b'None',0.0,6.0,2010.0,b'New',b'Partial',394432.0,-93.628804,42.05885
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',140.0,19138.0,b'Pave',b'No_Alley_Access',b'Regular',b'Lvl',b'AllPub',b'Corner',b'Gtl',b'Gilbert',b'Norm',b'Norm',b'OneFam',b'One_Story',b'Below_Average',b'Average',1951.0,1951.0,b'Gable',b'CompShg',b'VinylSd',b'VinylSd',b'None',0.0,b'Typical',b'Typical',b'CBlock',b'Typical',b'Typical',b'No',b'LwQ',4.0,b'Unf',0.0,744.0,864.0,b'GasA',b'Excellent',b'Y',b'SBrkr',864.0,0.0,0.0,864.0,0.0,0.0,1.0,0.0,2.0,1.0,b'Typical',4.0,b'Typ',0.0,b'No_Fireplace',b'Detchd',b'Unf',2.0,400.0,b'Typical',b'Typical',b'Paved',0.0,0.0,0.0,0.0,0.0,0.0,b'No_Pool',b'No_Fence',b'None',0.0,6.0,2010.0,b'WD ',b'Normal',141000.0,-93.622971,42.056673
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',85.0,13175.0,b'Pave',b'No_Alley_Access',b'Regular',b'Lvl',b'AllPub',b'Inside',b'Gtl',b'Northwest_Ames',b'Norm',b'Norm',b'OneFam',b'One_Story',b'Above_Average',b'Above_Average',1978.0,1988.0,b'Gable',b'CompShg',b'Plywood',b'Plywood',b'Stone',119.0,b'Typical',b'Typical',b'CBlock',b'Good',b'Typical',b'No',b'ALQ',1.0,b'Rec',163.0,589.0,1542.0,b'GasA',b'Typical',b'Y',b'SBrkr',2073.0,0.0,0.0,2073.0,1.0,0.0,2.0,0.0,3.0,1.0,b'Typical',7.0,b'Min1',2.0,b'Typical',b'Attchd',b'Unf',2.0,500.0,b'Typical',b'Typical',b'Paved',349.0,0.0,0.0,0.0,0.0,0.0,b'No_Pool',b'Minimum_Privacy',b'None',0.0,2.0,2010.0,b'WD ',b'Normal',210000.0,-93.636655,42.054453
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',105.0,11751.0,b'Pave',b'No_Alley_Access',b'Slightly_Irregular',b'Lvl',b'AllPub',b'Inside',b'Gtl',b'Northwest_Ames',b'Norm',b'Norm',b'OneFam',b'One_Story',b'Above_Average',b'Above_Average',1977.0,1977.0,b'Hip',b'CompShg',b'Plywood',b'Plywood',b'BrkFace',480.0,b'Typical',b'Typical',b'CBlock',b'Good',b'Typical',b'No',b'BLQ',2.0,b'Unf',0.0,1139.0,1844.0,b'GasA',b'Excellent',b'Y',b'SBrkr',1844.0,0.0,0.0,1844.0,0.0,0.0,2.0,0.0,3.0,1.0,b'Typical',7.0,b'Typ',1.0,b'Typical',b'Attchd',b'RFn',2.0,546.0,b'Typical',b'Typical',b'Paved',0.0,122.0,0.0,0.0,0.0,0.0,b'No_Pool',b'Minimum_Privacy',b'None',0.0,1.0,2010.0,b'COD',b'Normal',190000.0,-93.633962,42.050346
b'Split_Foyer',b'Residential_Low_Density',85.0,10625.0,b'Pave',b'No_Alley_Access',b'Regular',b'Lvl',b'AllPub',b'Inside',b'Gtl',b'Northwest_Ames',b'Norm',b'Norm',b'OneFam',b'SFoyer',b'Good',b'Above_Average',1974.0,1974.0,b'Gable',b'CompShg',b'Plywood',b'Plywood',b'BrkFace',81.0,b'Typical',b'Typical',b'CBlock',b'Good',b'Typical',b'Gd',b'GLQ',3.0,b'LwQ',168.0,0.0,1053.0,b'GasA',b'Typical',b'Y',b'SBrkr',1173.0,0.0,0.0,1173.0,1.0,0.0,2.0,0.0,3.0,1.0,b'Good',6.0,b'Typ',2.0,b'Typical',b'Attchd',b'RFn',2.0,528.0,b'Typical',b'Typical',b'Paved',0.0,120.0,0.0,0.0,0.0,0.0,b'No_Pool',b'Minimum_Privacy',b'None',0.0,1.0,2010.0,b'WD ',b'Family',170000.0,-93.636372,42.05027
b'Two_Story_1946_and_Newer',b'Floating_Village_Residential',0.0,7500.0,b'Pave',b'No_Alley_Access',b'Regular',b'Lvl',b'AllPub',b'Inside',b'Gtl',b'Somerset',b'Norm',b'Norm',b'OneFam',b'Two_Story',b'Good',b'Average',2000.0,2000.0,b'Gable',b'CompShg',b'VinylSd',b'VinylSd',b'None',0.0,b'Good',b'Typical',b'PConc',b'Good',b'Typical',b'No',b'GLQ',3.0,b'Unf',0.0,281.0,814.0,b'GasA',b'Excellent',b'Y',b'SBrkr',814.0,860.0,0.0,1674.0,1.0,0.0,2.0,1.0,3.0,1.0,b'Good',7.0,b'Typ',0.0,b'No_Fireplace',b'Attchd',b'RFn',2.0,663.0,b'Typical',b'Typical',b'Paved',0.0,96.0,0.0,0.0,0.0,0.0,b'No_Pool',b'No_Fence',b'None',0.0,1.0,2010.0,b'WD ',b'Normal',216000.0,-93.639366,42.049297
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',0.0,11241.0,b'Pave',b'No_Alley_Access',b'Slightly_Irregular',b'Lvl',b'AllPub',b'CulDSac',b'Gtl',b'North_Ames',b'Norm',b'Norm',b'OneFam',b'One_Story',b'Above_Average',b'Good',1970.0,1970.0,b'Gable',b'CompShg',b'Wd Sdng',b'Wd Sdng',b'BrkFace',180.0,b'Typical',b'Typical',b'CBlock',b'Typical',b'Typical',b'No',b'ALQ',1.0,b'Unf',0.0,426.0,1004.0,b'GasA',b'Excellent',b'Y',b'SBrkr',1004.0,0.0,0.0,1004.0,1.0,0.0,1.0,0.0,2.0,1.0,b'Typical',5.0,b'Typ',1.0,b'Typical',b'Attchd',b'Fin',2.0,480.0,b'Typical',b'Typical',b'Paved',0.0,0.0,0.0,0.0,0.0,0.0,b'No_Pool',b'No_Fence',b'Shed',700.0,3.0,2010.0,b'WD ',b'Normal',149000.0,-93.626231,42.055147
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',0.0,12537.0,b'Pave',b'No_Alley_Access',b'Slightly_Irregular',b'Lvl',b'AllPub',b'CulDSac',b'Gtl',b'North_Ames',b'Norm',b'Norm',b'OneFam',b'One_Story',b'Average',b'Above_Average',1971.0,2008.0,b'Gable',b'CompShg',b'VinylSd',b'VinylSd',b'None',0.0,b'Typical',b'Typical',b'CBlock',b'Typical',b'Typical',b'No',b'GLQ',3.0,b'Unf',0.0,344.0,1078.0,b'GasA',b'Excellent',b'Y',b'SBrkr',1078.0,0.0,0.0,1078.0,1.0,0.0,1.0,1.0,3.0,1.0,b'Typical',6.0,b'Typ',1.0,b'Fair',b'Attchd',b'Fin',2.0,500.0,b'Typical',b'Typical',b'Paved',0.0,0.0,0.0,0.0,0.0,0.0,b'No_Pool',b'No_Fence',b'None',0.0,4.0,2010.0,b'WD ',b'Normal',149900.0,-93.626537,42.054592
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',65.0,8450.0,b'Pave',b'No_Alley_Access',b'Regular',b'Lvl',b'AllPub',b'Inside',b'Gtl',b'North_Ames',b'Norm',b'Norm',b'OneFam',b'One_Story',b'Average',b'Above_Average',1968.0,1968.0,b'Gable',b'CompShg',b'VinylSd',b'VinylSd',b'None',0.0,b'Typical',b'Typical',b'CBlock',b'Typical',b'Typical',b'No',b'BLQ',2.0,b'Unf',0.0,281.0,1056.0,b'GasA',b'Excellent',b'Y',b'SBrkr',1056.0,0.0,0.0,1056.0,1.0,0.0,1.0,0.0,3.0,1.0,b'Typical',6.0,b'Typ',1.0,b'Fair',b'Attchd',b'Unf',1.0,304.0,b'Typical',b'Typical',b'Paved',0.0,85.0,184.0,0.0,0.0,0.0,b'No_Pool',b'No_Fence',b'None',0.0,7.0,2010.0,b'WD ',b'Normal',142000.0,-93.628806,42.055227
